date,hometeam,awayteam,fthg,ftag,hs,as,hst,ast,hc,ac,match_result,result_numeric,goal_difference,total_goals,season,league,Date_x,home_form_5,home_avg_goals_scored_5,home_avg_goals_conceded_5,home_avg_gd_5,home_win_streak,home_unbeaten_streak,Date_y,away_form_5,away_avg_goals_scored_5,away_avg_goals_conceded_5,away_avg_gd_5,away_win_streak,away_unbeaten_streak,form_diff,gd_diff,win_streak_diff,form_ratio,gd_ratio,home_advantage_form,momentum_indicator
2018-09-22,Hertha,M'gladbach,4,2,16.0,17.0,7.0,4.0,8.0,7.0,H,1,2,6,2019,Bundesliga 2018 ,2018-09-22,0.0,1.6666666666666667,0.6666666666666666,0.0,0,0,2018-09-22,0.0,1.6666666666666667,0.6666666666666666,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-22,Hoffenheim,Dortmund,1,1,17.0,8.0,5.0,2.0,4.0,4.0,D,0,0,2,2019,Bundesliga 2018 ,2018-09-22,0.0,1.6666666666666667,2.0,0.0,0,0,2018-09-22,0.0,2.3333333333333335,0.6666666666666666,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-22,Nurnberg,Hannover,2,0,14.0,9.0,6.0,3.0,9.0,3.0,H,1,2,2,2019,Bundesliga 2018 ,2018-09-22,0.0,0.6666666666666666,1.0,0.0,0,0,2018-09-22,0.0,1.0,1.3333333333333333,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-22,Schalke 04,Bayern Munich,0,2,10.0,14.0,2.0,7.0,0.0,8.0,A,2,-2,2,2019,Bundesliga 2018 ,2018-09-22,0.0,0.6666666666666666,2.0,0.0,0,0,2018-09-22,0.0,3.0,0.6666666666666666,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-22,Wolfsburg,Freiburg,1,3,17.0,12.0,9.0,8.0,7.0,7.0,A,2,-2,4,2019,Bundesliga 2018 ,2018-09-22,0.0,2.3333333333333335,1.3333333333333333,0.0,0,0,2018-09-22,0.0,1.3333333333333333,2.6666666666666665,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-23,Ein Frankfurt,RB Leipzig,1,1,8.0,9.0,5.0,2.0,4.0,2.0,D,0,0,2,2019,Bundesliga 2018 ,2018-09-23,0.0,1.3333333333333333,1.6666666666666667,0.0,0,0,2018-09-23,0.0,1.6666666666666667,2.3333333333333335,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-23,Leverkusen,Mainz,1,0,18.0,12.0,5.0,5.0,7.0,4.0,H,1,1,1,2019,Bundesliga 2018 ,2018-09-23,0.0,0.6666666666666666,2.6666666666666665,0.0,0,0,2018-09-23,0.0,1.3333333333333333,0.6666666666666666,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-25,Bayern Munich,Augsburg,1,1,16.0,12.0,8.0,4.0,8.0,4.0,D,0,0,2,2019,Bundesliga 2018 ,2018-09-25,0.0,2.75,0.5,0.0,0,0,2018-09-25,0.0,1.5,1.75,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-25,Freiburg,Schalke 04,1,0,15.0,15.0,4.0,3.0,3.0,3.0,H,1,1,1,2019,Bundesliga 2018 ,2018-09-25,0.0,1.75,2.25,0.0,0,0,2018-09-25,0.0,0.5,2.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-25,Hannover,Hoffenheim,1,3,17.0,17.0,8.0,9.0,8.0,5.0,A,2,-2,4,2019,Bundesliga 2018 ,2018-09-25,0.0,0.75,1.5,0.0,0,0,2018-09-25,0.0,1.5,1.75,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
